id,name,decs,queryFormat,rewardFormat
1,Nghỉ ngơi dưỡng sức,Sáng tác 3 lần,"[6,3]","[[1,1,100000,0]]"
2,Ngũ cốc phong đăng,Cày view 3 lần,"[7,3]","[[1,2,100000,0]]"
3,Binh giáp phú túc,Fan meeting 3 lần,"[8,3]","[[1,3,100000,0]]"
4,Đề bạt Hoa An,Idol Chi Pu lên cấp 10,"[16,1,1,10]","[[1,1,100000,0]]"
5,Đề bạt Tiêu Kiếm,Idol Đen Vâu lên cấp 10,"[16,1,2,10]","[[1,1,100000,0]]"
6,Đề bạt Kỷ Vân,Idol Viruss lên cấp 10,"[16,1,3,10]","[[1,1,100000,0]]"
7,Đề bạt Lưu Dung,Idol Lê Thị Huyền Anh lên cấp 10,"[16,1,4,10]","[[1,1,100000,0]]"
8,Đề bạt Bản Kiều,Idol Hoàng Thùy Linh lên cấp 10,"[16,1,5,10]","[[1,1,100000,0]]"
9,Xử lý Truyền thông,Xử lý Truyền thông 3 lần,"[9,3]","[[1,3,100000,0]]"
10,Tân quan nhận chức,Tích lũy chiến thắng ải Đời sống showbiz 16 lần,"[5,16]","[[1,1,100000,0],[1,2,100000,0],[1,3,100000,0]]"
