id,structure,name,type,title,desc,talk,reward
1,1,Nhã Lady,1,Nữ nghệ sỹ quốc dân,"Nhã Lady là nữ doanh nhân, diễn viên kỳ tài của Vbiz. Không chỉ nói riêng về mảng điện ảnh, mà kể cả trên thương trường cô là người thành đạt và là một nhà hoạt động xã hội tích cực.",Khi còn bé hanh phúc rất đơn giản. Khi trưởng thành rất đơn giản mới hạnh phúc,"[102,46,0,0]"
2,1,Hưng Hà,1,Nam nghệ sỹ quốc dân,"Hưng Hà là một nghệ sĩ đã giành được 2 giải Cống hiến và hàng loạt các giải thưởng lớn nhỏ khá. Nam ca sĩ nổi tiếng và được vinh hạnh biết đến với biệt danh ""Ông hoàng nhạc Việt""","Tôi thích cậu vì cậu không cho phép mình thất bại, không phải vì cậu hiếu thắng mà vì cậu lo cho phía sau cậu còn bao nhiêu người phụ thuộc","[102,46,0,0]"
3,1,Vượng Kiều,2,Giám đốc công ty,Giám đốc một công ty trong tập đoàn ZynGa. Người giúp bạn đạt ước mở Super Idols,"Nghe bác Vượng Kiều tới thăm, vội vàng ra tiếp đón.","[102,47,0,0]"
4,2,Sơn Nolan,1,Đạo diễn,"Nghệ sĩ Sơn Nolan là một diễn viên truyền hình, diễn viên sân khấu và là người dẫn chương trình nổi tiếng. Hiện anh đang là Phó Giám đốc Nhà hát kịch và Đạo diễn nổi tiếng","Sơn Nolan hào hứng mở đầu với lời tâm sự: “Thật vui mừng khi chúng ta lại có mặt trên hành trình kết nối những trái tim những ước mơ lớn""","[102,46,0,0]"
5,2,Madam Key,2,Trùm bất động sản,"Bà trùm bất động sản nay đã nghỉ hưu, người từng cấp vốn kinh doanh cho chủ tịch Vương Gia Vệ khi ông còn trẻ và ZynGa khi đó mới chỉ là một công ty nhỏ trong ShowBiz","Dù sao tôi cũng là doanh nhân nên tôi cũng nhận ra vài điều về cậu. Không phải vì thơi gian hay sự nổi tiếng, mà chính là sự quan tâm của cậu đến mọi người đã khiến tôi rất hài lòng.","[102,47,0,0]"
6,3,Dr Dre,1,Producer,"Đối với những người khác, để đến được với âm nhạc hay để có thể học về âm nhạc là cả một hành trình dài, là biết bao khó khăn, nhưng với anh, nó đến như một điều tất nhiên vậy","DrDre cầm bản thảo idea lạnh lùng nói:"" Cậu đã tin tưởng giao phó, việc này nội trong 3 ngày nhật định phải làm xong""","[102,46,0,0]"
7,4,Dj Sona,1,Dj cuốn hút,"DJ Sona phủ thủy âm nhạc, cô sở hữu lượng người theo dõi các tài khoản mạng xã hội như Facebook, Instagram tới hơn 4 triệu lượt. Được biết đến bên cạnh tài năng DJ là vẻ ngoài nóng bỏng không thua kém bất cứ mỹ nhân nào","Dj Sona chạy ra cúi đầu chào bạn:"" Anh MrX vừa ra ngoài, khi đi có dặn dò mình phải tiếp đón cậu cẩn thận""","[102,46,0,0]"
8,4,Sylvia,2,Tiểu thư nhà giàu,"Một cô tiểu thư nhà giàu nhưng luôn cảm thấy bị gò bó, ngạt thở trong chính gia đình mình",Có lúc tranh giành lại cảm thấy có phúc hơn những người tranh giành được,"[102,47,0,0]"
9,4,Jay Chung,3,Giám khảo người mẫu,"Jay Chung nổi tiếng không chỉ với vai trò là chuyên gia trang điểm hàng đầu  mà anh còn là stylist, nhà tư vấn sắc đẹp cho những tạp chí thời trang, chương trình thời trang nổi tiếng danh giá","JayChung trợn mắt nhìn bạn:"" Tôi không muốn đây là chương trình mang tên Showbiz next top ngất xỉu""","[102,48,0,0]"
10,5,Madam Key,3,Trùm bất động sản,"Bà trùm bất động sản nay đã nghỉ hưu, người từng cấp vốn kinh doanh cho chủ tịch Vương Gia Vệ khi ông còn trẻ và ZynGa khi đó mới chỉ là một công ty nhỏ trong ShowBiz","Ta nói ta là dân làm ăn mà, ta không thích lãng phí tiền bạc. Cậu không hoàn thành nhiệm vụ thì phải tra ta gấp đôi","[102,48,0,0]"
11,6,Nhã Lady,3,Nữ nghệ sỹ quốc dân,"Nhã Lady là nữ doanh nhân, diễn viên kỳ tài của Vbiz. Không chỉ nói riêng về mảng điện ảnh, mà kể cả trên thương trường cô là người thành đạt và là một nhà hoạt động xã hội tích cực.","Nhìn Nhã Lady tất tải quyên ghóp từ thiện, bạn nguyện giúp một tay","[102,48,0,0]"
